METAGENOMEID,ILLUMINA
STP248.12601,STP_248_10039_S28_L004_R?_001.fastq.gz
STP294.12602,STP_294_10044_S34_L004_R?_001.fastq.gz
STP51B.12603,STP_51B_10019_S31_L004_R?_001.fastq.gz
STP572.12604,STP_572_10073_S29_L004_R?_001.fastq.gz
STP672.12605,STP_672_10098_S32_L004_R?_001.fastq.gz
STP701.12606,STP_701_10110_S33_L004_R?_001.fastq.gz
STP748.12607,STP_748_10122_S30_L004_R?_001.fastq.gz
Alig_mis,SRR18112698_?.fastq.gz
UHM17.10826,UHM17_S33_L004_R?_001.fastq.gz
UHM18.10827,UHM18_S34_L004_R?_001.fastq.gz
UHM20.10828,UHM20_S35_L004_R?_001.fastq.gz
UHM27.10829,UHM27_S36_L004_R?_001.fastq.gz
UHM31.10830,UHM31_S37_L004_R?_001.fastq.gz
UHM36.10832,UHM36_S38_L004_R?_001.fastq.gz
UHM38.10833,UHM38_S39_L004_R?_001.fastq.gz
UHM44.10837,UHM44_S40_L004_R?_001.fastq.gz
UHM56.10839,UHM56_S41_L004_R?_001.fastq.gz
UHM102.10840,UHM102_S42_L004_R?_001.fastq.gz
UHM1073.23039,UHM1073_R?.fastq.gz
UHM298.23040,UHM298_R?.fastq.gz
UHM40.10834,UHM40_R?.fastq.gz
UHM41.10835,UHM41_R?.fastq.gz
UHM899.23043,UHM899_R?.fastq.gz
UHM973.23044,UHM973_R?.fastq.gz
UHM979.23045,UHM979_R?.fastq.gz
UHM982.23046,UHM982_R?.fastq.gz
UHM984.23047,UHM984_R?.fastq.gz
UHM997.23048,UHM997_R?.fastq.gz
UHM993.23065,UHM993_R?.fastq.gz
UHM989.23064,UHM989_R?.fastq.gz
UHM1327.23073,UHM1327_R?.fastq.gz
UHM1228.23072,UHM1228_R?.fastq.gz
UHM1225.23071,UHM1225_R?.fastq.gz
UHM1210.23070,UHM1210_R?.fastq.gz
UHM1171.23069,UHM1171_R?.fastq.gz
UHM1110.23068,UHM1110_R?.fastq.gz
UHM1088.23067,UHM1088_R?.fastq.gz
UHM1080.23066,UHM1080_R?.fastq.gz
UHM897.23053,UHM897_R?.fastq.gz
UHM896.23052,UHM896_R?.fastq.gz
UHM893.23051,UHM893_R?.fastq.gz
UHM892.23050,UHM892_R?.fastq.gz
UHM467.23049,UHM467_R?.fastq.gz
UHM45.10838,UHM45_R?.fastq.gz
UHM43.10836,UHM43_R?.fastq.gz
UHM33.10831,UHM33_R?.fastq.gz
UHM245.23042,UHM245_R?.fastq.gz
UHM207.23041,UHM207_R?.fastq.gz
UHM978.23063,UHM978_R?.fastq.gz
UHM975.23062,UHM975_R?.fastq.gz
UHM969.23061,UHM969_R?.fastq.gz
UHM967.23060,UHM967_R?.fastq.gz
UHM909.23059,UHM909_R?.fastq.gz
UHM907.23058,UHM907_R?.fastq.gz
UHM906.23057,UHM906_R?.fastq.gz
UHM905.23056,UHM905_R?.fastq.gz
UHM904.23055,UHM904_R?.fastq.gz
UHM902.23054,UHM902_R?.fastq.gz
UHM17.35739,UCD_20240722__LS_1_1700_R?.fastq.gz
UHM17.35740,UCD_20240722__LS_1_1702_R?.fastq.gz
UHM18.35741,UCD_20240722__LS_1_1837_R?.fastq.gz
UHM18.35742,UCD_20240722__LS_1_1839_R?.fastq.gz
UHM20.35743,UCD_20240722__LS_1_2041_R?.fastq.gz
UHM20.35744,UCD_20240722__LS_1_2043_R?.fastq.gz
UHM22.35745,UCD_20240722__LS_1_2255_R?.fastq.gz
UHM22.35746,UCD_20240722__LS_1_2257_R?.fastq.gz
UHM22.35747,UCD_20240722__LS_1_2259_R?.fastq.gz
UHM31.35748,UCD_20240722__LS_1_3161_R?.fastq.gz
UHM31.35749,UCD_20240726__LS_2_3163_R?.fastq.gz
UHM36.35750,UCD_20240726__LS_2_3605_R?.fastq.gz
UHM36.35751,UCD_20240726__LS_2_3607_R?.fastq.gz
UHM38.35752,UCD_20240726__LS_2_3817_R?.fastq.gz
UHM38.35753,UCD_20240726__LS_2_3819_R?.fastq.gz
UHM40.35754,UCD_20240726__LS_2_4009_R?.fastq.gz
UHM40.35755,UCD_20240726__LS_2_4011_R?.fastq.gz
UHM41.35756,UCD_20240726__LS_2_4165_R?.fastq.gz
UHM41.35757,UCD_20240726__LS_2_4167_R?.fastq.gz
UHM45.35758,UCD_20240726__LS_2_4533_R?.fastq.gz
UHM45.35759,UCD_20240726__LS_3_4535_R?.fastq.gz
UHM56.35760,UCD_20240726__LS_3_5613_R?.fastq.gz
UHM56.35761,UCD_20240726__LS_3_5615_R?.fastq.gz
UHM72.35762,UCD_20240726__LS_3_7245_R?.fastq.gz
UHM72.35763,UCD_20240726__LS_3_7247_R?.fastq.gz
UHM72.35764,UCD_20240726__LS_3_7269_R?.fastq.gz
UHM102.35765,UCD_20240726__LS_3_10249_R?.fastq.gz
UHM102.35766,UCD_20240726__LS_3_10251_R?.fastq.gz
UHM102.35767,UCD_20240726__LS_3_10253_R?.fastq.gz
UHM125.35768,UCD_20240726__LS_3_12527_R?.fastq.gz
UHM125.35769,UCD_20240726__LS_4_12529_R?.fastq.gz
UHM125.35770,UCD_20240726__LS_4_12531_R?.fastq.gz
UHM145.35771,UCD_20240726__LS_4_14521_R?.fastq.gz
UHM145.35772,UCD_20240726__LS_4_14523_R?.fastq.gz
UHM145.35773,UCD_20240726__LS_4_14525_R?.fastq.gz
UHM739.35775,UCD_20240726__LS_4_73928_R?.fastq.gz
UHM740.35774,UCD_20240726__LS_4_74051_R?.fastq.gz
